"InteractorA","InteractorA_type","Relation","InteractorB","InteractorB_type","DB","DB_type","PMID"
"TP53","Gene","up-regulates-quantity-by-expression","CRYAB","Gene","SIGNOR","Signalling-Networks","21556774"
"TFAP2A","Gene","up-regulates-quantity-by-expression","CRYAB","Gene","SIGNOR","Signalling-Networks","21556774"
"TFAP2B","Gene","up-regulates-quantity-by-expression","CRYAB","Gene","SIGNOR","Signalling-Networks","21556774"
"EGFR","Gene","up-regulates-quantity-by-expression","KRT14","Gene","SIGNOR","Signalling-Networks","11875647"
"PRL","Gene","up-regulates-quantity-by-expression","KRT14","Gene","SIGNOR","Signalling-Networks","20103718"
"TLR7","Gene","up-regulates-quantity","IFNA1","Gene","SIGNOR","Signalling-Networks","15661881"
"CRH","Gene","down-regulates-quantity-by-repression","KRT14","Gene","SIGNOR","Signalling-Networks","15468147"
"CDK1","Gene","up-regulates","LMNA","Gene","SIGNOR","Signalling-Networks","18815303"
"PRKCA","Gene","up-regulates-activity","LMNA","Gene","SIGNOR","Signalling-Networks","7925482"
"PRKCA","Gene","unknown","LMNA","Gene","SIGNOR","Signalling-Networks","8477740"
"CASP6","Gene","down-regulates","LMNA","Gene","SIGNOR","Signalling-Networks","11058599"
"GATA1","Gene","up-regulates-quantity-by-expression","SPTA1","Gene","SIGNOR","Signalling-Networks","10037687"
"JAK2","Gene","up-regulates-activity","APOA1","Gene","SIGNOR","Signalling-Networks","14668333"
"ABCA1","Gene","up-regulates-activity","APOA1","Gene","SIGNOR","Signalling-Networks","15347662"
"HP","Gene","up-regulates-quantity-by-stabilization","APOA1","Gene","SIGNOR","Signalling-Networks","17824618"
"MPO","Gene","down-regulates-activity","APOA1","Gene","SIGNOR","Signalling-Networks","20043647"
"ABCA7","Gene","up-regulates-activity","APOA1","Gene","SIGNOR","Signalling-Networks","12917409"
"PROX1","Gene","down-regulates-quantity-by-repression","IFNG","Gene","SIGNOR","Signalling-Networks","20064070"
"APOA1","Gene","up-regulates-activity","APOE","Gene","SIGNOR","Signalling-Networks","20642861"
"NCOA1","Gene","up-regulates-quantity-by-expression","APOC3","Gene","SIGNOR","Signalling-Networks","16891307"
"PPARGC1A","Gene","up-regulates-quantity-by-expression","APOC3","Gene","SIGNOR","Signalling-Networks","16891307"
"MMP8","Gene","down-regulates-quantity-by-destabilization","FGA","Gene","SIGNOR","Signalling-Networks","10930399"
"MMP12","Gene","down-regulates-quantity-by-destabilization","FGA","Gene","SIGNOR","Signalling-Networks","10930399"
"MMP13","Gene","down-regulates-quantity-by-destabilization","FGA","Gene","SIGNOR","Signalling-Networks","10930399"
"MMP14","Gene","down-regulates-quantity-by-destabilization","FGA","Gene","SIGNOR","Signalling-Networks","10930399"
"MMP13","Gene","down-regulates-quantity-by-destabilization","FGB","Gene","SIGNOR","Signalling-Networks","10930399"
"MMP13","Gene","down-regulates-quantity-by-destabilization","FGG","Gene","SIGNOR","Signalling-Networks","10930399"
"MMP14","Gene","down-regulates-quantity-by-destabilization","FGG","Gene","SIGNOR","Signalling-Networks","10930399"
"PRKCA","Gene","unknown","MBP","Gene","SIGNOR","Signalling-Networks","2413024"
"IFNA2","Gene","up-regulates-quantity-by-expression","HLA-B","Gene","SIGNOR","Signalling-Networks","2507660"
"PRKACA","Gene","unknown","MBP","Gene","SIGNOR","Signalling-Networks","2413024"
"MAPK3","Gene","down-regulates","MBP","Gene","SIGNOR","Signalling-Networks","1939237"
"MAPK3","Gene","down-regulates","MBP","Gene","SIGNOR","Signalling-Networks","16401070"
"MAPK1","Gene","down-regulates","MBP","Gene","SIGNOR","Signalling-Networks","1939237"
"MAPK1","Gene","down-regulates","MBP","Gene","SIGNOR","Signalling-Networks","16401070"
"UHMK1","Gene","down-regulates","MBP","Gene","SIGNOR","Signalling-Networks","10880969"
"UHMK1","Gene","down-regulates","MBP","Gene","SIGNOR","Signalling-Networks","16401070"
"WNT9B","Gene","up-regulates","CHRNA1","Gene","SIGNOR","Signalling-Networks","22309736"
"WNT11","Gene","up-regulates","CHRNA1","Gene","SIGNOR","Signalling-Networks","22309736"
"WNT16","Gene","up-regulates","CHRNA1","Gene","SIGNOR","Signalling-Networks","22309736"
"LYN","Gene","unknown","SLC4A1","Gene","SIGNOR","Signalling-Networks","10942405"
"SYK","Gene","up-regulates","SLC4A1","Gene","SIGNOR","Signalling-Networks","10942405"
"SYK","Gene","unknown","SLC4A1","Gene","SIGNOR","Signalling-Networks","10942405"
"CFH","Gene","down-regulates-activity","CRP","Gene","SIGNOR","Signalling-Networks","26961257"
"C1QBP","Gene","down-regulates-activity","C1QA","Gene","SIGNOR","Signalling-Networks","28018340"
"C1QBP","Gene","down-regulates-activity","C1QB","Gene","SIGNOR","Signalling-Networks","28018340"
"C1QBP","Gene","down-regulates-activity","C1QC","Gene","SIGNOR","Signalling-Networks","28018340"
"F10","Gene","down-regulates-activity","APOH","Gene","SIGNOR","Signalling-Networks","9596664"
"PLG","Gene","down-regulates-activity","APOH","Gene","SIGNOR","Signalling-Networks","9596664"
"FGG","Gene","down-regulates-activity","FN1","Gene","SIGNOR","Signalling-Networks","2243140"
"SERPINA5","Gene","down-regulates-activity","FN1","Gene","SIGNOR","Signalling-Networks","24388360"
"TWIST1","Gene","up-regulates-quantity-by-expression","FN1","Gene","SIGNOR","Signalling-Networks","20646316"
"HNF1B","Gene","up-regulates-quantity-by-expression","ALB","Gene","SIGNOR","Signalling-Networks","1673926"
"TP53","Gene","down-regulates-quantity-by-repression","AFP","Gene","SIGNOR","Signalling-Networks","14522900"
"HNF1A","Gene","up-regulates-quantity-by-expression","AFP","Gene","SIGNOR","Signalling-Networks","7549116"
"HNF1A","Gene","up-regulates-quantity-by-expression","AFP","Gene","SIGNOR","Signalling-Networks","11314020"
"HNF1A","Gene","up-regulates-quantity-by-expression","AFP","Gene","SIGNOR","Signalling-Networks","9792724"
"NF1","Gene","down-regulates-quantity-by-repression","AFP","Gene","SIGNOR","Signalling-Networks","7549116"
"HNF1B","Gene","up-regulates-quantity-by-expression","AFP","Gene","SIGNOR","Signalling-Networks","7549116"
"HNF4A","Gene","up-regulates-quantity-by-expression","AFP","Gene","SIGNOR","Signalling-Networks","9792724"
"HNF4G","Gene","up-regulates-quantity-by-expression","AFP","Gene","SIGNOR","Signalling-Networks","9792724"
"ZFHX3","Gene","down-regulates-quantity-by-repression","AFP","Gene","SIGNOR","Signalling-Networks","11314020"
"ZFHX3","Gene","down-regulates-quantity-by-repression","AFP","Gene","SIGNOR","Signalling-Networks","14654895"
"SIRT2","Gene","up-regulates-quantity-by-expression","AFP","Gene","SIGNOR","Signalling-Networks","14522900"
"ING2","Gene","down-regulates-quantity-by-repression","AFP","Gene","SIGNOR","Signalling-Networks","14522900"
"NANOG","Gene","down-regulates-quantity-by-repression","AFP","Gene","SIGNOR","Signalling-Networks","15983365"
"ZBTB20","Gene","down-regulates-quantity-by-repression","AFP","Gene","SIGNOR","Signalling-Networks","23776228"
"ING1","Gene","down-regulates-quantity-by-repression","AFP","Gene","SIGNOR","Signalling-Networks","14522900"
"IRX2","Gene","down-regulates-quantity-by-repression","CXCL10","Gene","SIGNOR","Signalling-Networks","26560478"
"SH3BP4","Gene","down-regulates","TFRC","Gene","SIGNOR","Signalling-Networks","16325581"
"TFCP2","Gene","up-regulates-quantity-by-expression","TF","Gene","SIGNOR","Signalling-Networks","20796026"
"CEBPG","Gene","up-regulates-quantity-by-expression","LTF","Gene","SIGNOR","Signalling-Networks","15588942"
"CEBPE","Gene","up-regulates-quantity-by-expression","LTF","Gene","SIGNOR","Signalling-Networks","15588942"
"ATF1","Gene","down-regulates-quantity-by-repression","FTH1","Gene","SIGNOR","Signalling-Networks","17565989"
"CSNK1D","Gene","up-regulates","PRH1","Gene","SIGNOR","Signalling-Networks","10684652"
"TGFB1","Gene","down-regulates-quantity-by-repression","BGLAP","Gene","SIGNOR","Signalling-Networks","11331591"
"CTSL","Gene","down-regulates-quantity-by-destabilization","BGLAP","Gene","SIGNOR","Signalling-Networks","9076588"
"CTSB","Gene","down-regulates-quantity-by-destabilization","BGLAP","Gene","SIGNOR","Signalling-Networks","9076588"
"CTSH","Gene","down-regulates-quantity-by-destabilization","BGLAP","Gene","SIGNOR","Signalling-Networks","9076588"
"ETS2","Gene","up-regulates-quantity-by-expression","BGLAP","Gene","SIGNOR","Signalling-Networks","11175361"
"CTSS","Gene","down-regulates-quantity-by-destabilization","BGLAP","Gene","SIGNOR","Signalling-Networks","9076588"
"GGCX","Gene","up-regulates-activity","BGLAP","Gene","SIGNOR","Signalling-Networks","31226734"
"RUNX2","Gene","up-regulates-quantity-by-expression","BGLAP","Gene","SIGNOR","Signalling-Networks","9182762"
"RUNX2","Gene","up-regulates-quantity-by-expression","BGLAP","Gene","SIGNOR","Signalling-Networks","11331591"
"SP7","Gene","up-regulates-quantity-by-expression","BGLAP","Gene","SIGNOR","Signalling-Networks","11792318"
"SMOC1","Gene","up-regulates-quantity-by-expression","BGLAP","Gene","SIGNOR","Signalling-Networks","20359165"
"AIP","Gene","down-regulates-activity","ESR1","Gene","SIGNOR","Signalling-Networks","21984905"
"KMT2D","Gene","up-regulates","ESR1","Gene","SIGNOR","Signalling-Networks","16603732"
"SNAI2","Gene","down-regulates-quantity-by-repression","ESR1","Gene","SIGNOR","Signalling-Networks","20509143"
"ABL1","Gene","up-regulates","ESR1","Gene","SIGNOR","Signalling-Networks","20101225"
"EGFR","Gene","up-regulates","ESR1","Gene","SIGNOR","Signalling-Networks","11887937"
"ERBB2","Gene","up-regulates","ESR1","Gene","SIGNOR","Signalling-Networks","15173068"
"LCK","Gene","up-regulates","ESR1","Gene","SIGNOR","Signalling-Networks","9500442"
"LCK","Gene","up-regulates","ESR1","Gene","SIGNOR","Signalling-Networks","10571988"
"PGR","Gene","up-regulates","ESR1","Gene","SIGNOR","Signalling-Networks","12612073"
"SRC","Gene","up-regulates","ESR1","Gene","SIGNOR","Signalling-Networks","9500442"
"PRKACA","Gene","up-regulates","ESR1","Gene","SIGNOR","Signalling-Networks","15193262"
"PRKACA","Gene","down-regulates","ESR1","Gene","SIGNOR","Signalling-Networks","9891036"
"RPS6KB1","Gene","up-regulates","ESR1","Gene","SIGNOR","Signalling-Networks","7838153"
"CDK2","Gene","up-regulates","ESR1","Gene","SIGNOR","Signalling-Networks","23390529"
"CDK2","Gene","up-regulates","ESR1","Gene","SIGNOR","Signalling-Networks","10428798"
"DNMT1","Gene","down-regulates-quantity-by-repression","ESR1","Gene","SIGNOR","Signalling-Networks","23242655"
"MAPK3","Gene","up-regulates","ESR1","Gene","SIGNOR","Signalling-Networks","17615152"
"MAPK3","Gene","up-regulates","ESR1","Gene","SIGNOR","Signalling-Networks","18372406"
"MAPK1","Gene","up-regulates","ESR1","Gene","SIGNOR","Signalling-Networks","18372406"
"MAPK1","Gene","up-regulates","ESR1","Gene","SIGNOR","Signalling-Networks","17615152"
"MAPK1","Gene","up-regulates","ESR1","Gene","SIGNOR","Signalling-Networks","12466266"
"AKT1","Gene","up-regulates","ESR1","Gene","SIGNOR","Signalling-Networks","11108261"
"AKT2","Gene","up-regulates-activity","ESR1","Gene","SIGNOR","Signalling-Networks","11139588"
"BRCA1","Gene","down-regulates-activity","ESR1","Gene","SIGNOR","Signalling-Networks","11244506"
"GSK3B","Gene","up-regulates","ESR1","Gene","SIGNOR","Signalling-Networks","16076840"
"CDK7","Gene","up-regulates","ESR1","Gene","SIGNOR","Signalling-Networks","10949034"
"MECP2","Gene","down-regulates-quantity-by-repression","ESR1","Gene","SIGNOR","Signalling-Networks","15870696"
"MECP2","Gene","down-regulates-quantity-by-repression","ESR1","Gene","SIGNOR","Signalling-Networks","23242655"
"RPS6KA3","Gene","up-regulates","ESR1","Gene","SIGNOR","Signalling-Networks","19112174"
"MNAT1","Gene","up-regulates-activity","ESR1","Gene","SIGNOR","Signalling-Networks","10949034"
"CSNK2A1","Gene","down-regulates","ESR1","Gene","SIGNOR","Signalling-Networks","20043841"
"POU4F1","Gene","up-regulates-activity","ESR1","Gene","SIGNOR","Signalling-Networks","9448000"
"POU4F2","Gene","up-regulates-activity","ESR1","Gene","SIGNOR","Signalling-Networks","9448000"
"PAK1","Gene","up-regulates","ESR1","Gene","SIGNOR","Signalling-Networks","12374744"
"HDAC1","Gene","down-regulates-quantity-by-repression","ESR1","Gene","SIGNOR","Signalling-Networks","23242655"
"GTF2H2","Gene","up-regulates-activity","ESR1","Gene","SIGNOR","Signalling-Networks","10949034"
"IKBKE","Gene","up-regulates","ESR1","Gene","SIGNOR","Signalling-Networks","19940156"
"NR0B2","Gene","down-regulates","ESR1","Gene","SIGNOR","Signalling-Networks","11861507"
"NCOA1","Gene","up-regulates","ESR1","Gene","SIGNOR","Signalling-Networks","9427757"
"MAPK14","Gene","up-regulates","ESR1","Gene","SIGNOR","Signalling-Networks","12138194"
"MAPK14","Gene","up-regulates","ESR1","Gene","SIGNOR","Signalling-Networks","15879307"
"DUSP22","Gene","down-regulates-activity","ESR1","Gene","SIGNOR","Signalling-Networks","17384676"
"NR2E3","Gene","up-regulates-quantity-by-expression","ESR1","Gene","SIGNOR","Signalling-Networks","22174013"
"CTSD","Gene","down-regulates-quantity-by-destabilization","BGLAP","Gene","SIGNOR","Signalling-Networks","9076588"
"Non-structural protein 10","Gene","down-regulates-activity","MT-ND4L","Gene","SIGNOR","Signalling-Networks","16157265"
"F12","Gene","up-regulates-activity","F11","Gene","SIGNOR","Signalling-Networks","8427954"
"SERPINC1","Gene","down-regulates-activity","F11","Gene","SIGNOR","Signalling-Networks","31030036"
"F12","Gene","up-regulates-activity","KLKB1","Gene","SIGNOR","Signalling-Networks","28966616"
"FBN1","Gene","up-regulates-quantity-by-expression","MMP1","Gene","SIGNOR","Signalling-Networks","16442122"
"ZNF384","Gene","up-regulates-quantity-by-expression","MMP1","Gene","SIGNOR","Signalling-Networks","10669742"
"CITED2","Gene","down-regulates-quantity-by-repression","MMP1","Gene","SIGNOR","Signalling-Networks","12960175"
"ZMYND8","Gene","down-regulates-quantity-by-repression","MMP1","Gene","SIGNOR","Signalling-Networks","27477906"
"RORB","Gene","up-regulates-quantity-by-expression","OPN1MW","Gene","SIGNOR","Signalling-Networks","19381306"
"PRKCB","Gene","up-regulates-quantity-by-stabilization","VTN","Gene","SIGNOR","Signalling-Networks","9030777"
"PRKCA","Gene","up-regulates-quantity-by-stabilization","VTN","Gene","SIGNOR","Signalling-Networks","9030777"
"PRKACA","Gene","unknown","VTN","Gene","SIGNOR","Signalling-Networks","1706595"
"CSNK2A1","Gene","up-regulates-activity","VTN","Gene","SIGNOR","Signalling-Networks","9733784"
"PRKACA","Gene","down-regulates-activity","HMGCR","Gene","SIGNOR","Signalling-Networks","2369897"
"SREBF2","Gene","up-regulates-quantity-by-expression","HMGCR","Gene","SIGNOR","Signalling-Networks","31848472"
"ABL1","Gene","up-regulates-activity","CAT","Gene","SIGNOR","Signalling-Networks","12777400"
"ABL1","Gene","up-regulates","CAT","Gene","SIGNOR","Signalling-Networks","12950161"
"ABL2","Gene","up-regulates","CAT","Gene","SIGNOR","Signalling-Networks","12950161"
"ABL2","Gene","up-regulates-activity","CAT","Gene","SIGNOR","Signalling-Networks","12777400"
"BTG2","Gene","up-regulates-quantity-by-expression","CAT","Gene","SIGNOR","Signalling-Networks","22493435"
"PPARD","Gene","up-regulates-quantity-by-expression","CAT","Gene","SIGNOR","Signalling-Networks","18048767"
"PRKCD","Gene","up-regulates-activity","CAT","Gene","SIGNOR","Signalling-Networks","24211614"
"NFE2L2","Gene","up-regulates-quantity-by-expression","CAT","Gene","SIGNOR","Signalling-Networks","22493435"
"PHLPP1","Gene","down-regulates-activity","RAF1","Gene","SIGNOR","Signalling-Networks","24530606"
"JAK2","Gene","up-regulates-activity","RAF1","Gene","SIGNOR","Signalling-Networks","8876196"
"PAK3","Gene","up-regulates","RAF1","Gene","SIGNOR","Signalling-Networks","9823899"
"NRAS","Gene","up-regulates","RAF1","Gene","SIGNOR","Signalling-Networks","21779497"
"HRAS","Gene","up-regulates","RAF1","Gene","SIGNOR","Signalling-Networks","21779497"
"HRAS","Gene","up-regulates","RAF1","Gene","SIGNOR","Signalling-Networks","9020159"
"KRAS","Gene","up-regulates","RAF1","Gene","SIGNOR","Signalling-Networks","16293107"
"KRAS","Gene","up-regulates","RAF1","Gene","SIGNOR","Signalling-Networks","10882715"
"RAF1","Gene","unknown","RAF1","Gene","SIGNOR","Signalling-Networks","8349614"
"PRKCG","Gene","up-regulates","RAF1","Gene","SIGNOR","Signalling-Networks","8288587"
"PRKCB","Gene","up-regulates","RAF1","Gene","SIGNOR","Signalling-Networks","8288587"
"SRC","Gene","up-regulates","RAF1","Gene","SIGNOR","Signalling-Networks","10998357"
"SRC","Gene","up-regulates","RAF1","Gene","SIGNOR","Signalling-Networks","12551923"
"SRC","Gene","up-regulates","RAF1","Gene","SIGNOR","Signalling-Networks","7692235"
"PRKCA","Gene","up-regulates","RAF1","Gene","SIGNOR","Signalling-Networks","12551925"
"PRKCA","Gene","up-regulates","RAF1","Gene","SIGNOR","Signalling-Networks","8288587"
"PRKCA","Gene","unknown","RAF1","Gene","SIGNOR","Signalling-Networks","12551925"
"PRKCA","Gene","down-regulates","RAF1","Gene","SIGNOR","Signalling-Networks","7935389"
"PRKACA","Gene","down-regulates","RAF1","Gene","SIGNOR","Signalling-Networks","11971957"
"PRKACA","Gene","down-regulates-activity","RAF1","Gene","SIGNOR","Signalling-Networks","12801936"
"PRKACA","Gene","down-regulates-activity","RAF1","Gene","SIGNOR","Signalling-Networks","11971957"
"MAPK3","Gene","down-regulates-activity","RAF1","Gene","SIGNOR","Signalling-Networks","15664191"
"MAPK3","Gene","down-regulates","RAF1","Gene","SIGNOR","Signalling-Networks","9922370"
"MAPK3","Gene","down-regulates","RAF1","Gene","SIGNOR","Signalling-Networks","15664191"
"MAPK3","Gene","down-regulates","RAF1","Gene","SIGNOR","Signalling-Networks","16407412"
"MAPK1","Gene","down-regulates-activity","RAF1","Gene","SIGNOR","Signalling-Networks","15664191"
"RPS6KA1","Gene","up-regulates","ESR1","Gene","SIGNOR","Signalling-Networks","7838153"
"PEBP1","Gene","down-regulates","RAF1","Gene","SIGNOR","Signalling-Networks","10490027"
"CDC25A","Gene","down-regulates","RAF1","Gene","SIGNOR","Signalling-Networks","7744247"
"AKT1","Gene","down-regulates","RAF1","Gene","SIGNOR","Signalling-Networks","16854453"
"AKT1","Gene","down-regulates","RAF1","Gene","SIGNOR","Signalling-Networks","22798428"
"AKT1","Gene","down-regulates","RAF1","Gene","SIGNOR","Signalling-Networks","10576741"
"AKT2","Gene","down-regulates-activity","RAF1","Gene","SIGNOR","Signalling-Networks","10576742"
"PPP5C","Gene","down-regulates-activity","RAF1","Gene","SIGNOR","Signalling-Networks","16892053"
"PPP1CA","Gene","up-regulates-activity","RAF1","Gene","SIGNOR","Signalling-Networks","16630891"
"PPP2R2A","Gene","up-regulates-activity","RAF1","Gene","SIGNOR","Signalling-Networks","16239230"
"PPP2CA","Gene","up-regulates","RAF1","Gene","SIGNOR","Signalling-Networks","16239230"
"PRKAA1","Gene","down-regulates","RAF1","Gene","SIGNOR","Signalling-Networks","11971957"
"PRKAA1","Gene","down-regulates","RAF1","Gene","SIGNOR","Signalling-Networks","9091312"
"PAK1","Gene","up-regulates","RAF1","Gene","SIGNOR","Signalling-Networks","18775988"
"PPP2R5D","Gene","up-regulates-activity","RAF1","Gene","SIGNOR","Signalling-Networks","16239230"
"PKN1","Gene","up-regulates","RAF1","Gene","SIGNOR","Signalling-Networks","11733498"
"PKN1","Gene","up-regulates","RAF1","Gene","SIGNOR","Signalling-Networks","15849194"
"KSR1","Gene","up-regulates","RAF1","Gene","SIGNOR","Signalling-Networks","11134016"
"CNKSR2","Gene","up-regulates","RAF1","Gene","SIGNOR","Signalling-Networks","14597674"
"CNKSR1","Gene","up-regulates","RAF1","Gene","SIGNOR","Signalling-Networks","15845549"
"WDR83","Gene","up-regulates","RAF1","Gene","SIGNOR","Signalling-Networks","15118098"
"SPRY4","Gene","down-regulates-activity","RAF1","Gene","SIGNOR","Signalling-Networks","12717443"
"PRKCG","Gene","up-regulates-quantity-by-stabilization","VTN","Gene","SIGNOR","Signalling-Networks","9030777"
"GRPR","Gene","up-regulates","PLA2G1B","Gene","SIGNOR","Signalling-Networks","17251915"
"GGCX","Gene","up-regulates-activity","PROC","Gene","SIGNOR","Signalling-Networks","28125048"
"TRIM28","Gene","down-regulates-quantity-by-repression","ALDOA","Gene","SIGNOR","Signalling-Networks","17900823"
"HIF1A","Gene","up-regulates-quantity-by-expression","ALDOA","Gene","SIGNOR","Signalling-Networks","8955077"
"ZNF224","Gene","down-regulates-quantity-by-repression","ALDOA","Gene","SIGNOR","Signalling-Networks","17900823"
"EGFR","Gene","up-regulates","ANXA1","Gene","SIGNOR","Signalling-Networks","24103589"
"PRKCG","Gene","up-regulates","ANXA1","Gene","SIGNOR","Signalling-Networks","24103589"
"PRKCB","Gene","up-regulates","ANXA1","Gene","SIGNOR","Signalling-Networks","24103589"
"SRC","Gene","up-regulates","ANXA1","Gene","SIGNOR","Signalling-Networks","24103589"
"SRC","Gene","unknown","ANXA1","Gene","SIGNOR","Signalling-Networks","24103589"
"PRKCA","Gene","up-regulates","ANXA1","Gene","SIGNOR","Signalling-Networks","24103589"
"SPI1","Gene","down-regulates-quantity-by-repression","ANXA1","Gene","SIGNOR","Signalling-Networks","19428102"
"PRKCH","Gene","up-regulates","ANXA1","Gene","SIGNOR","Signalling-Networks","24103589"
"TRPM7","Gene","up-regulates","ANXA1","Gene","SIGNOR","Signalling-Networks","24103589"
"RAD21","Gene","down-regulates-quantity","APOB","Gene","SIGNOR","Signalling-Networks","25575569"
"INS","Gene","down-regulates-quantity-by-destabilization","APOB","Gene","SIGNOR","Signalling-Networks","23721961"
"MTTP","Gene","up-regulates-activity","APOB","Gene","SIGNOR","Signalling-Networks","23721961"
"RAF1","Gene","up-regulates-activity","RAF1","Gene","SIGNOR","Signalling-Networks","19595761"
"HBB","Gene","up-regulates-quantity-by-stabilization","APOB","Gene","SIGNOR","Signalling-Networks","8611031"
"HBA1","Gene","up-regulates-quantity-by-stabilization","APOB","Gene","SIGNOR","Signalling-Networks","8611031"
"SGK1","Gene","up-regulates-activity","NR3C1","Gene","SIGNOR","Signalling-Networks","23650397"
"CLOCK","Gene","down-regulates-quantity-by-repression","NR3C1","Gene","SIGNOR","Signalling-Networks","21164265"
"HSP90AA1","Gene","down-regulates","NR3C1","Gene","SIGNOR","Signalling-Networks","21511880"
"MAPK1","Gene","down-regulates","RAF1","Gene","SIGNOR","Signalling-Networks","9922370"
"AR","Gene","down-regulates-quantity-by-repression","NR3C1","Gene","SIGNOR","Signalling-Networks","9162033"
"PTMS","Gene","up-regulates-quantity-by-expression","NR3C1","Gene","SIGNOR","Signalling-Networks","16150697"
"NR4A1","Gene","down-regulates-quantity-by-repression","NR3C1","Gene","SIGNOR","Signalling-Networks","15591535"
"NR2F2","Gene","up-regulates-quantity-by-expression","NR3C1","Gene","SIGNOR","Signalling-Networks","14739255"
"CDK2","Gene","up-regulates-activity","NR3C1","Gene","SIGNOR","Signalling-Networks","9199329"
"MAPK3","Gene","down-regulates","NR3C1","Gene","SIGNOR","Signalling-Networks","9199329"
"MAPK1","Gene","down-regulates-activity","NR3C1","Gene","SIGNOR","Signalling-Networks","9199329"
"AKT1","Gene","down-regulates","NR3C1","Gene","SIGNOR","Signalling-Networks","24291004"
"MAPK8","Gene","down-regulates","NR3C1","Gene","SIGNOR","Signalling-Networks","12351702"
"GSK3B","Gene","down-regulates-activity","NR3C1","Gene","SIGNOR","Signalling-Networks","18838540"
"PPP5C","Gene","down-regulates-activity","NR3C1","Gene","SIGNOR","Signalling-Networks","19586900"
"PRKDC","Gene","unknown","NR3C1","Gene","SIGNOR","Signalling-Networks","9038175"
"CDK5","Gene","down-regulates-activity","NR3C1","Gene","SIGNOR","Signalling-Networks","17440046"
"FKBP5","Gene","down-regulates","NR3C1","Gene","SIGNOR","Signalling-Networks","25790864"
"HES1","Gene","down-regulates-quantity-by-repression","NR3C1","Gene","SIGNOR","Signalling-Networks","19129776"
"HES1","Gene","down-regulates-activity","NR3C1","Gene","SIGNOR","Signalling-Networks","24300895"
"NCOA2","Gene","up-regulates-activity","NR3C1","Gene","SIGNOR","Signalling-Networks","29170386"
"MAPK14","Gene","up-regulates","NR3C1","Gene","SIGNOR","Signalling-Networks","15817653"
"MAPK14","Gene","up-regulates","NR3C1","Gene","SIGNOR","Signalling-Networks","20660302"
"CRTC2","Gene","up-regulates-activity","NR3C1","Gene","SIGNOR","Signalling-Networks","26652733"
"PELP1","Gene","up-regulates-quantity-by-expression","NR3C1","Gene","SIGNOR","Signalling-Networks","18682536"
"AIP","Gene","down-regulates-quantity-by-repression","TFF1","Gene","SIGNOR","Signalling-Networks","21984905"
"ESR1","Gene","up-regulates-quantity-by-expression","TFF1","Gene","SIGNOR","Signalling-Networks","11517191"
"BRCA1","Gene","down-regulates-quantity-by-repression","TFF1","Gene","SIGNOR","Signalling-Networks","11244506"
"MECP2","Gene","down-regulates-quantity-by-repression","TFF1","Gene","SIGNOR","Signalling-Networks","15870696"
"NFATC3","Gene","up-regulates-quantity-by-expression","TFF1","Gene","SIGNOR","Signalling-Networks","16219765"
"ESR2","Gene","up-regulates-quantity-by-expression","TFF1","Gene","SIGNOR","Signalling-Networks","11517191"
"FARP2","Gene","up-regulates-quantity-by-expression","SOD2","Gene","SIGNOR","Signalling-Networks","19276662"
"BTG2","Gene","up-regulates-quantity-by-expression","SOD2","Gene","SIGNOR","Signalling-Networks","22493435"
"DIP2A","Gene","up-regulates-activity","SOD2","Gene","SIGNOR","Signalling-Networks","33781892"
"NFE2L2","Gene","up-regulates-quantity-by-expression","SOD2","Gene","SIGNOR","Signalling-Networks","22493435"
"SIRT1","Gene","up-regulates-quantity-by-expression","SOD2","Gene","SIGNOR","Signalling-Networks","20089851"
"SIRT3","Gene","up-regulates-activity","SOD2","Gene","SIGNOR","Signalling-Networks","34929314"
"PPARGC1A","Gene","up-regulates-quantity-by-expression","SOD2","Gene","SIGNOR","Signalling-Networks","20089851"
"PPARGC1A","Gene","up-regulates","SOD2","Gene","SIGNOR","Signalling-Networks","18074631"
"APOA1","Gene","up-regulates-activity","LCAT","Gene","SIGNOR","Signalling-Networks","19860440"
"CDK1","Gene","down-regulates","TK1","Gene","SIGNOR","Signalling-Networks","14697231"
"CDK1","Gene","down-regulates","TK1","Gene","SIGNOR","Signalling-Networks","12435275"
"CDK2","Gene","down-regulates","TK1","Gene","SIGNOR","Signalling-Networks","14697231"
"CDK2","Gene","down-regulates","TK1","Gene","SIGNOR","Signalling-Networks","12435275"
"GLI1","Gene","up-regulates-quantity-by-expression","MYCN","Gene","SIGNOR","Signalling-Networks","19860666"
"GLI3","Gene","down-regulates-quantity-by-repression","MYCN","Gene","SIGNOR","Signalling-Networks","17419683"
"GLI3","Gene","down-regulates-quantity-by-repression","MYCN","Gene","SIGNOR","Signalling-Networks","19860666"
"CSNK2A2","Gene","unknown","MYCN","Gene","SIGNOR","Signalling-Networks","1425701"
"HOXA9","Gene","up-regulates-quantity-by-expression","MYCN","Gene","SIGNOR","Signalling-Networks","21261500"
"CSNK2A1","Gene","unknown","MYCN","Gene","SIGNOR","Signalling-Networks","1425701"
"SIRT2","Gene","up-regulates-quantity-by-stabilization","MYCN","Gene","SIGNOR","Signalling-Networks","23175188"
"Angiotensin 1-7","Gene","up-regulates-activity","MAS1","Gene","SIGNOR","Signalling-Networks","23488800"
"POU5F1","Gene","up-regulates-quantity-by-expression","THY1","Gene","SIGNOR","Signalling-Networks","17068183"
