"InteractorA","InteractorA_type","Relation","InteractorB","InteractorB_type","DB","DB_type","PMID"
"NFIX","Gene","down-regulates-quantity","ID3","Gene","SIGNOR","Signalling-Networks","31838646"
"NFIX","Gene","down-regulates-quantity","ETV5","Gene","SIGNOR","Signalling-Networks","31838646"
"NFIX","Gene","down-regulates-quantity","FOXO6","Gene","SIGNOR","Signalling-Networks","31838646"
"NFIX","Gene","down-regulates-quantity","GAS6","Gene","SIGNOR","Signalling-Networks","31838646"
"NFIX","Gene","down-regulates-quantity","WNT5A","Gene","SIGNOR","Signalling-Networks","31838646"
"NFIA","Gene","up-regulates-quantity","NEUROD1","Gene","SIGNOR","Signalling-Networks","31838646"
"NFIA","Gene","up-regulates-quantity","NEUROD4","Gene","SIGNOR","Signalling-Networks","31838646"
"NFIA","Gene","up-regulates-quantity","SLIT1","Gene","SIGNOR","Signalling-Networks","31838646"
"NFIA","Gene","up-regulates-quantity","ROBO1","Gene","SIGNOR","Signalling-Networks","31838646"
"NFIA","Gene","up-regulates-quantity","EPHA4","Gene","SIGNOR","Signalling-Networks","31838646"
"NFIA","Gene","up-regulates-quantity","EPHA5","Gene","SIGNOR","Signalling-Networks","31838646"
"NFIA","Gene","up-regulates-quantity","EPHA8","Gene","SIGNOR","Signalling-Networks","31838646"
"NFIB","Gene","up-regulates-quantity","NEUROD1","Gene","SIGNOR","Signalling-Networks","31838646"
"NFIB","Gene","up-regulates-quantity","NEUROD4","Gene","SIGNOR","Signalling-Networks","31838646"
"PTK2B","Gene","up-regulates-activity","ASAP2","Gene","SIGNOR","Signalling-Networks","10022920"
"ASAP2","Gene","up-regulates-activity","ARF1","Gene","SIGNOR","Signalling-Networks","10022920"
"ASAP2","Gene","up-regulates-activity","ARF6","Gene","SIGNOR","Signalling-Networks","10022920"
"NFIB","Gene","up-regulates-quantity","SLIT1","Gene","SIGNOR","Signalling-Networks","31838646"
"NFIB","Gene","up-regulates-quantity","ROBO1","Gene","SIGNOR","Signalling-Networks","31838646"
"NFIB","Gene","up-regulates-quantity","EPHA4","Gene","SIGNOR","Signalling-Networks","31838646"
"NFIB","Gene","up-regulates-quantity","EPHA5","Gene","SIGNOR","Signalling-Networks","31838646"
"NFIB","Gene","up-regulates-quantity","EPHA8","Gene","SIGNOR","Signalling-Networks","31838646"
"NFIX","Gene","up-regulates-quantity","NEUROD1","Gene","SIGNOR","Signalling-Networks","31838646"
"NFIX","Gene","up-regulates-quantity","NEUROD4","Gene","SIGNOR","Signalling-Networks","31838646"
"NFIX","Gene","up-regulates-quantity","SLIT1","Gene","SIGNOR","Signalling-Networks","31838646"
"NFIX","Gene","up-regulates-quantity","ROBO1","Gene","SIGNOR","Signalling-Networks","31838646"
"NFIX","Gene","up-regulates-quantity","EPHA4","Gene","SIGNOR","Signalling-Networks","31838646"
"NFIX","Gene","up-regulates-quantity","EPHA5","Gene","SIGNOR","Signalling-Networks","31838646"
"NFIX","Gene","up-regulates-quantity","EPHA8","Gene","SIGNOR","Signalling-Networks","31838646"
"NFIA","Gene","up-regulates-quantity","RBFOX3","Gene","SIGNOR","Signalling-Networks","31838646"
"NFIB","Gene","up-regulates-quantity","RBFOX3","Gene","SIGNOR","Signalling-Networks","31838646"
"NFIX","Gene","up-regulates-quantity","RBFOX3","Gene","SIGNOR","Signalling-Networks","31838646"
"ASAP2","Gene","up-regulates-activity","ARF5","Gene","SIGNOR","Signalling-Networks","10022920"
"BAP1","Gene","up-regulates-quantity-by-stabilization","KEAP1","Gene","SIGNOR","Signalling-Networks","35052618"
"KEAP1","Gene","up-regulates-activity","CUL3","Gene","SIGNOR","Signalling-Networks","15983046"
"SPOP","Gene","down-regulates-activity","GMNN","Gene","SIGNOR","Signalling-Networks","34599168"
"SPOP","Gene","up-regulates-activity","CUL3","Gene","SIGNOR","Signalling-Networks","34599168"
"CHD8","Gene","down-regulates-quantity","DCX","Gene","SIGNOR","Signalling-Networks","32839322"
"CHD8","Gene","down-regulates-quantity","MAP2","Gene","SIGNOR","Signalling-Networks","32839322"
"CHD8","Gene","down-regulates-quantity","NEFM","Gene","SIGNOR","Signalling-Networks","32839322"
"CHD8","Gene","down-regulates-quantity","NEUROD4","Gene","SIGNOR","Signalling-Networks","32839322"
"CHD8","Gene","down-regulates-quantity","NEUROG1","Gene","SIGNOR","Signalling-Networks","32839322"
"CHD8","Gene","down-regulates-quantity","SOX3","Gene","SIGNOR","Signalling-Networks","32839322"
"CHD8","Gene","down-regulates-quantity","SOX2","Gene","SIGNOR","Signalling-Networks","32839322"
"CHD8","Gene","down-regulates-quantity","SOX7","Gene","SIGNOR","Signalling-Networks","32839322"
"CHD8","Gene","down-regulates-quantity","SOX11","Gene","SIGNOR","Signalling-Networks","32839322"
"PIAS1","Gene","down-regulates-activity","SATB2","Gene","SIGNOR","Signalling-Networks","14701874"
"LRRK2","Gene","up-regulates-quantity","CADPS2","Gene","SIGNOR","Signalling-Networks","28647363"
"SNCA","Gene","down-regulates-quantity","CADPS2","Gene","SIGNOR","Signalling-Networks","28647363"
"SATB2","Gene","down-regulates-quantity","NR4A2","Gene","SIGNOR","Signalling-Networks","31666685"
"SATB2","Gene","down-regulates-quantity","BCL11B","Gene","SIGNOR","Signalling-Networks","31666685"
"SATB2","Gene","up-regulates-quantity","IGHM","Gene","SIGNOR","Signalling-Networks","14701874"
"SMAD1","Gene","up-regulates-quantity","SATB2","Gene","SIGNOR","Signalling-Networks","22219353"
"SMAD1","Gene","up-regulates-quantity","SMAD6","Gene","SIGNOR","Signalling-Networks","22219353"
"SMAD1","Gene","up-regulates-quantity","HAND1","Gene","SIGNOR","Signalling-Networks","22219353"
"SMAD1","Gene","up-regulates-quantity","GADD45G","Gene","SIGNOR","Signalling-Networks","22219353"
"SMAD1","Gene","up-regulates-quantity","GATA3","Gene","SIGNOR","Signalling-Networks","22219353"
"SMAD5","Gene","up-regulates-quantity","SATB2","Gene","SIGNOR","Signalling-Networks","22219353"
"SMAD5","Gene","up-regulates-quantity","SMAD6","Gene","SIGNOR","Signalling-Networks","22219353"
"SMAD5","Gene","up-regulates-quantity","HAND1","Gene","SIGNOR","Signalling-Networks","22219353"
"SMAD5","Gene","up-regulates-quantity","GADD45G","Gene","SIGNOR","Signalling-Networks","22219353"
"SMAD5","Gene","up-regulates-quantity","GATA3","Gene","SIGNOR","Signalling-Networks","22219353"
"GAN","Gene","up-regulates-activity","CUL3","Gene","SIGNOR","Signalling-Networks","18680552"
"CUL3","Gene","down-regulates-quantity","TBCB","Gene","SIGNOR","Signalling-Networks","18680552"
